                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0646,                 2.3335,                 3.5794,                 1.4046,                0.00042,                0.04819,                0.00025,                 0.0001,                0.00031,                0.03614,                0.00019,                  7e-05,                  2.193,                 6.1781,                    inf,                 3.2616,             0.00065306,             0.00065306,             0.00065306
                      1,                 1.8156,                 3.3233,                 3.7799,                 1.9126,                0.00102,                0.12048,                 0.0007,                0.00018,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0012936,              0.0012936,              0.0012936
                      2,                 2.1677,                 4.3536,                 3.1315,                 2.2739,                0.00132,                0.15663,                 0.0009,                0.00031,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0019077,              0.0019077,              0.0019077
                      3,                 2.7487,                 4.0827,                  3.196,                 2.6806,                0.00067,                0.03614,                0.00036,                 0.0001,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0018812,              0.0018812,              0.0018812
                      4,                 2.8597,                 3.8884,                 3.0305,                 2.8144,                0.00238,                0.26506,                 0.0015,                0.00045,                0.00131,                0.14458,                0.00077,                0.00014,                 4.9341,                 372.36,                    inf,                 86.461,              0.0018812,              0.0018812,              0.0018812
                      5,                 2.6769,                 3.3526,                 3.0495,                 2.7456,                0.00091,                0.10843,                0.00051,                0.00013,                0.00031,                0.03614,                0.00016,                  5e-05,                    nan,                    nan,                    nan,                    nan,              0.0018416,              0.0018416,              0.0018416
                      6,                 2.4648,                 3.2824,                 2.8568,                 2.5272,                0.00525,                0.40964,                0.00409,                0.00113,                0.00282,                0.24096,                0.00204,                0.00045,                  2.805,                 1112.3,                    inf,                 17.118,               0.001802,               0.001802,               0.001802
                      7,                 2.2326,                 3.1342,                 2.7018,                 2.4495,                0.00455,                0.54217,                0.00355,                0.00138,                0.00364,                0.43373,                0.00263,                0.00076,                 3.5702,                 247.47,                    inf,                 8.0608,              0.0017624,              0.0017624,              0.0017624
                      8,                 2.1399,                 3.0799,                 2.7397,                  2.423,                0.06478,                0.46988,                0.05426,                0.01922,                0.05648,                0.40964,                0.04395,                 0.0128,                 2.3387,                 125.04,                 26.569,                 3.4189,              0.0017228,              0.0017228,              0.0017228
                      9,                 2.1082,                 3.3206,                 2.5538,                 2.3961,                0.03113,                0.48193,                0.03959,                0.00961,                0.02206,                0.27711,                0.01457,                0.00447,                 2.6572,                   1622,                 78.009,                 4.8185,              0.0016832,              0.0016832,              0.0016832
                     10,                 2.1599,                 3.0033,                 2.5952,                   2.39,                 0.1247,                0.27636,                 0.0733,                0.02591,                0.11462,                0.24019,                0.06863,                0.02223,                  3.864,                 1202.5,                 5.0526,                 6.9524,              0.0016436,              0.0016436,              0.0016436
                     11,                 2.0421,                 3.0377,                 2.4809,                 2.1917,                0.23342,                0.09639,                0.06581,                0.03084,                0.23342,                0.09639,                0.06527,                0.02481,                 3.0434,                 1897.8,                 154.16,                 5.1887,               0.001604,               0.001604,               0.001604
